p14_bsi_1_1			0.00	65	65	Serratia_sp._FGI94	S
p14_bsi_1_1			0.00	22	22	Serratia_plymuthica	S
p14_bsi_1_1			0.00	6	6	Serratia_sp._YD25	S
p14_bsi_1_1			0.00	5	5	Serratia_ficaria	S
p14_bsi_1_1			0.00	2	2	Serratia_rubidaea	S
p14_bsi_1_1			0.00	8	8	Serratia_sp._SCBI	S
p14_bsi_1_1			0.00	5	5	Serratia_sp._MYb239	S
p14_bsi_1_1			0.00	211	211	Yersinia_enterocolitica	S
p14_bsi_1_1			0.00	56	56	Yersinia_rohdei	S
p14_bsi_1_1			0.00	2	2	Yersinia_similis	S
p14_bsi_1_1			0.00	2	2	Yersinia_entomophaga	S
p14_bsi_1_1			0.00	4	4	Yersinia_frederiksenii	S
p14_bsi_1_1			0.00	25	25	Rahnella_sp._ERMR1:05	S
p14_bsi_1_1			0.00	31	31	Rahnella_aquatilis	S
p14_bsi_1_1			0.00	122	122	Pantoea_vagans	S
p14_bsi_1_1			0.00	102	102	Pantoea_rwandensis	S
p14_bsi_1_1			0.00	95	95	Pantoea_ananatis	S
p14_bsi_1_1			0.00	68	68	Pantoea_sp._At-9b	S
p14_bsi_1_1			0.00	51	51	Pantoea_stewartii	S
p14_bsi_1_1			0.00	31	31	Pantoea_gaviniae	S
p14_bsi_1_1			0.00	75	75	Pantoea_sp._PSNIH2	S
p14_bsi_1_1			0.00	6	6	Pantoea_alhagi	S
p14_bsi_1_1			0.00	2	2	Pantoea_agglomerans	S
p14_bsi_1_1			0.00	2	2	Pantoea_sp._PSNIH1	S
p14_bsi_1_1			0.00	41	41	Erwinia_gerundensis	S
p14_bsi_1_1			0.00	33	33	Erwinia_billingiae	S
p14_bsi_1_1			0.00	8	8	Erwinia_persicina	S
p14_bsi_1_1			0.00	21	21	Erwinia_amylovora	S
p14_bsi_1_1			0.00	5	5	Erwinia_tasmaniensis	S
p14_bsi_1_1			0.00	2	2	Tatumella_citrea	S
p14_bsi_1_1			0.00	210	210	Pectobacterium_carotovorum	S
p14_bsi_1_1			0.00	6	6	Pectobacterium_wasabiae	S
p14_bsi_1_1			0.00	3	3	Pectobacterium_atrosepticum	S
p14_bsi_1_1			0.00	2	2	Pectobacterium_polaris	S
p14_bsi_1_1			0.00	68	68	Dickeya_dianthicola	S
p14_bsi_1_1			0.00	24	24	Dickeya_zeae	S
p14_bsi_1_1			0.00	30	30	Dickeya_sp._MK7	S
p14_bsi_1_1			0.00	5	5	Dickeya_dadantii	S
p14_bsi_1_1			0.00	2	2	Sodalis_praecaptivus	S
p14_bsi_1_1			0.00	2	2	Brenneria_sp._EniD312	S
p14_bsi_1_1			0.00	2	2	Lonsdalea_britannica	S
p14_bsi_1_1			0.00	107	107	Edwardsiella_tarda	S
p14_bsi_1_1			0.00	2	2	Edwardsiella_hoshinae	S
p14_bsi_1_1			0.00	2	2	Edwardsiella_ictaluri	S
p14_bsi_1_1			0.00	8	8	Hafnia_alvei	S
p14_bsi_1_1			0.00	8	8	Xenorhabdus_poinarii	S
p14_bsi_1_1			0.00	3	3	Providencia_sp._WCHPr000369	S
